study_hours_per_day	exercise_frequency	focus_level	study_resources_availability	social_media_hours	mental_health_rating	test_anxiety_level	financial_stress_level	netflix_hours	academic_motivation	academic_self_efficacy	attendance_percentage	time_management	study_techniques_usage	procrastination_level	sleep_hours	home_study_environment	AcademicPerformance
Cortas	Frecuente	Disperso	Escasos	Ligero	Optima	Moderada	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Intensas	Frecuente	Disperso	Suficientes	Ligero	Optima	Severa	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Insuficiente	Desfavorable	Excelente
Cortas	Activo	Concentrado	Suficientes	Moderado	Delicada	Severa	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Cortas	Frecuente	Concentrado	Escasos	Moderado	Delicada	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Regular	Caotico	Basico	Controlada	Prolongado	Desfavorable	Satisfactorio
Intensas	Activo	Disperso	Escasos	Moderado	Delicada	Severa	Bajo_Estres	Poco	Limitada	Confiado	Constante	Adecuado	Intermedio	Controlada	Insuficiente	Desfavorable	Satisfactorio
Intensas	Activo	Concentrado	Escasos	Ligero	Estable	Leve	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Intensas	Activo	Disperso	Escasos	Ligero	Estable	Moderada	Bajo_Estres	Poco	Limitada	Muy_Confiado	Regular	Caotico	Basico	Controlada	Normal	Adecuado	Excelente
Adecuadas	Sedentario	Disperso	Suficientes	Ligero	Optima	Leve	Bajo_Estres	Poco	Limitada	Inseguro	Regular	Caotico	Basico	Controlada	Insuficiente	Desfavorable	Satisfactorio
Adecuadas	Activo	Concentrado	Suficientes	Ligero	Delicada	Leve	Bajo_Estres	Poco	Media	Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Adecuado	Excelente
Adecuadas	Frecuente	Concentrado	Escasos	Moderado	Optima	Leve	Bajo_Estres	Poco	Media	Muy_Confiado	Constante	Adecuado	Intermedio	Controlada	Normal	Desfavorable	Excelente
